city,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s,train_rows,n_features,epochs,status,n_rows
GandhiNagar,BiLSTM,A,,,32.0,0.7712,11.95,19.86,396.7,4.693,,,,,58632.0
Hyderabad,BiLSTM,A,,,34.0,0.5375,18.42,25.64,845.4,6.702,,,,,109993.0
Indore,BiLSTM,A,,,32.0,0.8874,15.42,23.5,267.0,3.924,,,,,43635.0
Jaipur,BiLSTM,A,,,33.0,0.705,20.64,33.45,328.4,3.876,,,,,42322.0
Jodhpur,BiLSTM,A,,,33.0,-1.1037,100.72,131.94,247.8,4.036,,,,,43329.0
Mumbai,BiLSTM,A,,,33.0,0.7427,17.39,31.47,335.3,4.329,,,,,54405.0
Mumbai_suburbs,BiLSTM,A,,,33.0,0.803,15.05,21.58,149.4,3.052,,,,,21625.0
Nagpur,BiLSTM,A,,,32.0,0.9107,13.17,19.63,466.0,5.435,,,,,80700.0
Pune,BiLSTM,A,,,32.0,-0.2789,69.48,93.01,394.6,5.084,,,,,70466.0
Singrauli,BiLSTM,A,,,22.0,0.8292,27.99,44.54,721.3,5.119,,,,,69506.0
Surat,BiLSTM,A,,,30.0,0.6301,32.32,54.4,280.5,3.206,,,,,26147.0
Thane,BiLSTM,A,,,33.0,0.7353,17.71,24.58,175.5,3.002,,,,,20521.0
Vapi,BiLSTM,A,,,31.0,0.6297,30.69,46.59,647.1,4.493,,,,,58285.0
bhopal,BiLSTM,A,,,32.0,0.7841,22.51,36.58,217.9,3.953,,,,,43515.0
vishakhapattanam,BiLSTM,A,,,34.0,0.8681,18.57,31.13,296.6,3.544,,,,,34614.0
Ahmedabad,CNN-BiLSTM,A,,,17.0,0.5595,37.12,51.76,75.7,0.9,,,,,28236.0
Chennai,CNN-BiLSTM,A,,,17.0,0.0442,21.18,33.81,111.6,1.082,,,,,44117.0
Delhi_NCR,CNN-BiLSTM,A,,,17.0,0.6863,55.74,70.44,46.6,1.532,,,,,77704.0
GandhiNagar,CNN-BiLSTM,A,,,17.0,0.4606,20.66,30.5,98.8,1.267,,,,,58632.0
Hyderabad,CNN-BiLSTM,A,,,17.0,0.1233,27.92,35.3,66.7,1.949,,,,,109993.0
Indore,CNN-BiLSTM,A,,,17.0,0.463,35.14,51.32,27.9,1.08,,,,,43635.0
Jaipur,CNN-BiLSTM,A,,,17.0,-0.2508,51.8,68.88,28.7,1.064,,,,,42322.0
Jodhpur,CNN-BiLSTM,A,,,17.0,0.2745,58.8,77.48,29.6,1.085,,,,,43329.0
Mumbai,CNN-BiLSTM,A,,,17.0,-0.21,48.51,68.24,33.5,1.218,,,,,54405.0
Mumbai_suburbs,CNN-BiLSTM,A,,,17.0,0.6565,20.47,28.5,44.2,0.802,,,,,21625.0
Nagpur,CNN-BiLSTM,A,,,17.0,0.5603,29.15,43.56,48.2,1.567,,,,,80700.0
Pune,CNN-BiLSTM,A,,,17.0,0.1506,48.34,75.8,42.9,1.436,,,,,70466.0
Singrauli,CNN-BiLSTM,A,,,14.0,0.3659,63.06,85.84,42.1,1.425,,,,,69506.0
Surat,CNN-BiLSTM,A,,,17.0,-0.1853,72.25,97.38,18.8,0.865,,,,,26147.0
Thane,CNN-BiLSTM,A,,,17.0,0.4562,27.41,35.23,33.3,0.78,,,,,20521.0
Vapi,CNN-BiLSTM,A,,,17.0,-0.2064,64.35,84.1,35.8,1.274,,,,,58285.0
bhopal,CNN-BiLSTM,A,,,17.0,0.5501,38.12,52.81,27.5,1.07,,,,,43515.0
vishakhapattanam,CNN-BiLSTM,A,,,17.0,0.4627,40.45,62.82,22.8,0.969,,,,,34614.0
