city,horizon,model,track,n_train,n_test,n_feats,r2,mae,rmse,train_time_s,inference_time_s
Surat,1,RandomForest,B,18302,3923,58,0.3337,41.78,72.91,46.08,0.0644
Surat,1,GradientBoosting,B,18302,3923,58,0.3819,38.69,70.22,58.16,0.0071
Surat,1,XGBoost,B,18302,3923,58,0.3795,38.09,70.36,1.7,0.008
Surat,6,RandomForest,B,18298,3922,58,0.1345,55.19,83.1,46.58,0.054
Surat,6,GradientBoosting,B,18298,3922,58,0.1937,46.17,80.21,58.13,0.0071
Surat,6,XGBoost,B,18298,3922,58,0.178,46.29,80.98,1.73,0.0082
Surat,24,RandomForest,B,18286,3919,58,0.0629,60.18,86.49,47.86,0.0538
Surat,24,GradientBoosting,B,18286,3919,58,0.1822,50.0,80.8,58.2,0.0072
Surat,24,XGBoost,B,18286,3919,58,0.1458,50.35,82.58,1.76,0.0081
Thane,1,RandomForest,B,14363,3079,71,0.8396,11.71,19.12,41.77,0.0539
Thane,1,GradientBoosting,B,14363,3079,71,0.8468,11.4,18.69,60.83,0.0071
Thane,1,XGBoost,B,14363,3079,71,0.8408,11.86,19.06,2.46,0.0068
Thane,6,RandomForest,B,14360,3078,71,0.6255,20.7,29.22,41.6,0.0543
Thane,6,GradientBoosting,B,14360,3078,71,0.6772,18.97,27.13,60.76,0.0067
Thane,6,XGBoost,B,14360,3078,71,0.6349,20.8,28.85,2.52,0.0067
Thane,24,RandomForest,B,14347,3076,71,0.4906,24.46,34.08,43.89,0.054
Thane,24,GradientBoosting,B,14347,3076,71,0.5801,21.86,30.94,61.0,0.0066
Thane,24,XGBoost,B,14347,3076,71,0.3827,26.85,37.51,2.41,0.0069
Vapi,1,RandomForest,B,40798,8744,70,0.4998,37.45,54.25,116.96,0.0945
Vapi,1,GradientBoosting,B,40798,8744,70,0.5282,35.35,52.68,135.58,0.02
Vapi,1,XGBoost,B,40798,8744,70,0.531,35.47,52.53,2.37,0.0163
Vapi,6,RandomForest,B,40795,8743,70,0.3629,45.15,61.23,114.76,0.0747
Vapi,6,GradientBoosting,B,40795,8743,70,0.4098,43.16,58.92,135.2,0.0181
Vapi,6,XGBoost,B,40795,8743,70,0.4345,41.38,57.68,2.39,0.0162
Vapi,24,RandomForest,B,40782,8740,70,0.3385,45.55,62.39,115.23,0.0745
Vapi,24,GradientBoosting,B,40782,8740,70,0.3105,45.71,63.69,134.99,0.0183
Vapi,24,XGBoost,B,40782,8740,70,0.1885,50.25,69.1,2.36,0.0162
bhopal,1,RandomForest,B,30459,6528,72,0.8149,21.6,33.84,93.46,0.0842
bhopal,1,GradientBoosting,B,30459,6528,72,0.8203,20.49,33.35,109.27,0.0159
bhopal,1,XGBoost,B,30459,6528,72,0.8204,20.47,33.34,2.76,0.0125
bhopal,6,RandomForest,B,30456,6527,72,0.6187,32.81,48.58,92.22,0.0739
bhopal,6,GradientBoosting,B,30456,6527,72,0.6734,29.15,44.96,109.72,0.0149
bhopal,6,XGBoost,B,30456,6527,72,0.6688,29.72,45.28,2.68,0.0125
bhopal,24,RandomForest,B,30443,6525,72,0.6107,33.91,49.09,92.15,0.074
bhopal,24,GradientBoosting,B,30443,6525,72,0.6172,32.2,48.69,109.67,0.0145
bhopal,24,XGBoost,B,30443,6525,72,0.6095,32.96,49.17,2.73,0.0133
vishakhapattanam,1,RandomForest,B,24229,5193,72,0.767,26.19,41.28,71.0,0.0739
vishakhapattanam,1,GradientBoosting,B,24229,5193,72,0.7711,25.31,40.92,85.21,0.0132
vishakhapattanam,1,XGBoost,B,24229,5193,72,0.7686,25.5,41.14,2.6,0.0103
vishakhapattanam,6,RandomForest,B,24225,5192,72,0.5266,38.0,58.84,73.73,0.0742
vishakhapattanam,6,GradientBoosting,B,24225,5192,72,0.6031,34.62,53.88,85.14,0.0122
vishakhapattanam,6,XGBoost,B,24225,5192,72,0.5879,35.06,54.91,2.62,0.0102
vishakhapattanam,24,RandomForest,B,24213,5189,72,0.5242,39.89,59.01,74.66,0.0738
vishakhapattanam,24,GradientBoosting,B,24213,5189,72,0.5253,38.89,58.94,84.99,0.0121
vishakhapattanam,24,XGBoost,B,24213,5189,72,0.5111,39.34,59.81,2.61,0.0108
