PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
101.0,159.25,4.35,21.775,15.125,19.575,35.65,0.5625,59.25,,,26.4,54.75,1.9,154.75,517.5,703.0,237.3,Poor,Indore
93.75,151.75,4.275,22.175,15.25,18.6,28.775,0.63,60.5,,,26.125,55.25,1.75,147.5,459.75,702.0,213.4,Poor,Indore
91.75,135.75,4.075,22.625,15.35,18.5,29.725,0.6625,61.05,,,26.85,54.5,1.4,164.5,482.5,701.0,206.8,Poor,Indore
95.75,136.0,4.025,22.3,15.1,18.6,33.4,0.64,62.3,,,28.05,51.5,1.575,149.5,487.0,700.0,220.0,Poor,Indore
91.75,136.75,4.225,21.825,15.05,18.1,29.75,0.6125,79.825,,,27.65,52.75,1.175,158.5,401.75,700.0,206.8,Poor,Indore
90.25,132.0,3.975,24.625,16.325,18.35,21.325,0.6625,78.275,,,27.625,52.5,1.275,132.75,273.0,700.0,201.8,Poor,Indore
88.25,142.25,3.85,29.4,18.75,17.625,17.825,0.8075,68.375,,,26.625,56.5,0.8,140.25,76.25,700.0,194.2,Moderate,Indore
96.25,175.0,19.625,93.95,65.85,18.55,17.125,2.3425,27.925,,,25.425,61.0,0.325,130.75,60.75,701.0,221.6,Poor,Indore
126.25,248.75,65.85,107.625,110.8,22.275,20.725,4.4375,14.65,,,24.175,68.75,0.3,66.0,63.75,701.0,305.8,Very Poor,Indore
145.75,271.25,18.025,94.65,64.975,21.45,15.525,1.935,25.025,,,23.6,68.25,0.5,123.0,61.25,701.75,320.6,Very Poor,Indore
129.75,213.75,11.775,85.4,54.975,19.675,12.75,1.93,23.75,,,22.925,70.75,0.325,120.75,62.5,702.0,308.4,Very Poor,Indore
131.0,217.0,16.875,92.425,62.85,21.3,12.55,1.91,22.85,,,22.95,70.0,0.45,110.0,64.0,702.0,309.4,Very Poor,Indore
136.0,231.0,7.85,64.95,40.9,22.25,12.175,1.5225,40.975,,,22.7,70.5,0.55,111.75,63.0,702.0,313.2,Very Poor,Indore
127.5,198.5,4.9,32.525,21.275,20.425,16.55,0.8475,62.875,,,22.575,71.25,0.725,130.75,61.75,702.0,306.7,Very Poor,Indore
113.75,172.0,4.125,32.25,20.525,20.825,20.8,0.8625,56.075,,,22.2,73.5,0.725,116.25,61.5,701.5,279.4,Poor,Indore
119.0,187.25,3.95,29.25,18.775,21.175,19.675,0.75,58.95,,,21.65,74.75,0.775,117.5,63.5,701.0,296.7,Poor,Indore
109.25,157.5,4.25,23.425,15.925,21.075,18.8,0.705,56.8,,,20.775,77.0,0.4,111.75,61.5,701.0,264.5,Poor,Indore
105.0,145.0,4.05,23.375,15.725,21.25,22.225,0.81,63.85,,,20.9,74.25,0.875,93.5,61.75,701.0,250.5,Poor,Indore
97.75,140.25,3.925,22.3,15.075,19.9,24.15,0.8075,67.775,,,21.175,70.75,1.0,108.5,63.25,701.0,226.6,Poor,Indore
94.5,143.75,3.825,25.375,16.65,18.875,23.125,0.8575,60.375,,,21.475,68.75,1.175,115.0,61.0,702.0,215.8,Poor,Indore
99.25,148.0,4.025,29.375,18.9,18.4,23.65,0.7925,43.625,,,21.325,69.5,1.5,115.5,62.0,702.5,231.5,Poor,Indore
107.25,164.0,4.3,33.975,21.55,19.15,27.1,0.6825,44.0,,,22.075,65.25,1.475,118.25,96.25,703.25,257.9,Poor,Indore
99.25,164.25,4.55,35.15,22.4,17.85,23.65,0.66,40.6,,,21.7,67.25,2.1,121.0,146.75,704.0,231.5,Poor,Indore
94.0,152.0,4.025,44.85,27.125,16.85,15.95,0.85,30.6,,,20.8,74.25,1.7,120.75,135.5,704.0,214.2,Poor,Indore
102.25,142.75,5.95,58.025,35.625,16.375,17.6,1.1825,22.5,,,21.9,72.25,1.1,116.0,337.25,703.5,241.4,Poor,Indore
97.75,149.25,6.175,58.575,36.125,15.85,19.1,1.1775,25.95,,,22.825,68.25,1.45,112.75,334.75,702.75,226.6,Poor,Indore
89.5,144.5,4.525,48.1,29.25,15.125,17.475,1.01,31.525,,,23.275,65.75,1.625,116.0,393.25,701.75,198.4,Moderate,Indore
84.0,143.0,3.125,40.1,23.875,15.575,18.6,0.8525,43.125,,,23.95,62.0,2.125,107.75,425.0,701.0,180.2,Moderate,Indore
79.5,131.75,2.125,34.9,20.275,15.725,28.125,0.8025,39.0,,,24.025,63.75,2.15,102.75,369.75,701.0,165.4,Moderate,Indore
73.0,120.75,3.7,36.9,22.625,15.275,15.45,0.98,25.0,,,23.3,68.5,1.8,96.75,198.0,701.0,143.9,Moderate,Indore
70.25,113.25,7.0,47.375,30.875,16.925,16.3,1.45,37.9,,,22.75,69.25,1.5,93.75,61.25,701.25,134.8,Moderate,Indore
83.0,133.0,15.225,72.775,51.1,15.8,17.75,2.01,25.025,,,22.25,70.0,1.275,88.25,62.25,702.0,176.9,Moderate,Indore
91.25,145.5,26.975,71.425,59.95,15.425,17.05,2.38,19.15,,,21.975,70.75,1.25,81.5,61.5,702.25,205.1,Poor,Indore
90.0,146.25,17.4,67.475,50.05,20.125,17.45,1.675,21.6,,,21.625,74.0,1.45,85.25,60.75,703.0,200.0,Moderate,Indore
95.0,146.0,14.95,62.55,45.4,19.275,16.575,1.7075,22.25,,,21.05,77.5,1.25,78.5,60.0,703.0,217.5,Poor,Indore
