PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
,,14.4575,31.76,46.2175,,2.85,0.9125,0.014736842,1.9375,6.7725,,69.1675,0.33,73.39,38.1225,708.655,45.6,Good,Hyderabad
,,34.52,34.125,68.645,,2.9675,1.19,0.02736842,2.2725,7.2175,,71.44,0.3525,72.2625,39.1925,708.4625,60.3,Satisfactory,Hyderabad
,,37.8625,32.935,70.7975,,2.615,1.1325,0.04,2.5975,8.7825,,74.6575,0.365,65.05,39.545,708.0575,57.5,Satisfactory,Hyderabad
,,5.3525,22.5375,27.89,,1.81,0.545,0.05263158,1.9425,6.98,,77.63,0.3525,66.755,39.5675,707.4275,28.2,Good,Hyderabad
,,2.0875,19.65,21.7375,,1.3875,0.405,0.06526316,1.055,5.36,,79.6925,0.4525,49.49,39.19,706.9225,24.6,Good,Hyderabad
,,9.4375,23.575,33.0075,,1.335,0.46,0.07,1.0675,9.445,,80.8075,0.3625,56.7175,39.0475,706.945,29.5,Good,Hyderabad
,,2.9425,19.72,22.6625,,1.145,0.3725,0.07,1.345,11.6325,,82.0925,0.49,69.21,38.8925,707.055,24.6,Good,Hyderabad
,,4.8325,21.3825,26.215,,1.06,0.4275,0.061818182,0.9575,6.6025,,82.2375,0.46,76.8275,38.7925,707.5575,26.7,Good,Hyderabad
,,2.93,19.205,22.1325,,1.0475,0.56,0.04,1.095,5.28,,83.1225,0.425,55.92,47.6475,708.0975,28.0,Good,Hyderabad
,,4.0275,17.3275,21.355,,1.075,0.6175,0.018181818,1.485,5.165,,80.925,0.495,46.43,103.7525,708.94,30.9,Good,Hyderabad
,,5.1825,19.3475,24.5325,,1.0275,0.745,0.0125,1.535,3.91,,72.9175,0.565,135.0575,162.345,709.8325,37.2,Good,Hyderabad
,,4.475,23.975,28.45,,0.9875,0.92,0.025,1.4925,4.435,,67.075,0.615,160.74,364.76,710.46,46.0,Good,Hyderabad
,,1.545,18.1925,19.7375,,0.88,0.74,0.045,1.395,4.3775,,63.7925,0.8575,96.81,443.8275,710.52,37.0,Good,Hyderabad
,,0.335,14.515,14.8475,,0.8925,0.7025,0.055,1.4025,5.79,,59.5975,1.0475,146.67,472.51,710.1725,35.1,Good,Hyderabad
,,0.965,9.9,10.8675,,0.7675,0.405,0.0575,1.6225,8.0825,,57.1425,1.47,110.6125,523.21,709.3025,20.2,Good,Hyderabad
,,93.71,4.5025,95.31,,0.73,9.6375,0.0425,1.275,10.555,,55.6825,2.0325,37.5925,593.355,708.635,195.5,Moderate,Hyderabad
,,0.42,5.445,5.77,,89.8025,0.19,0.04,0.7525,6.7875,,52.66,1.7875,61.52,485.385,708.045,104.2,Moderate,Hyderabad
,,0.7125,5.9225,6.635,,1.29,0.1675,0.03,0.6225,13.1875,,52.4775,2.2575,38.3325,390.8425,707.7575,8.4,Good,Hyderabad
,,0.565,7.5775,7.9975,,1.56,0.23,0.03,0.6225,13.1475,,55.945,2.5825,44.8675,126.5675,707.8425,11.5,Good,Hyderabad
,,0.605,15.7725,16.375,,2.66,0.43,0.02,1.0875,30.7225,,59.86,2.075,53.865,44.4375,707.8025,21.5,Good,Hyderabad
,,1.355,24.045,25.405,,3.05,0.8125,0.01,1.58,21.3075,,62.5875,1.5375,58.275,39.3825,708.3,40.6,Good,Hyderabad
,,1.6325,30.59,32.225,,2.88,0.975,0.01,2.0725,10.7275,,65.7625,1.395,58.4925,38.4175,708.8275,48.8,Good,Hyderabad
,,0.965,30.4525,31.4175,,2.315,0.9125,0.011442307,2.2875,9.495,,69.3275,1.185,59.96,37.8975,709.3375,45.6,Good,Hyderabad
,,3.4375,32.41,35.845,,1.9875,0.9675,0.018653845,1.59,6.2325,,72.615,0.8575,63.3425,37.58,709.725,48.4,Good,Hyderabad
,,3.22,28.635,31.8575,,1.7925,0.855,0.026346155,1.585,6.565,,74.2825,0.82,54.1325,37.7175,709.835,42.8,Good,Hyderabad
,,5.8975,28.085,33.9825,,1.985,0.8075,0.03403846,1.7325,48.1675,,76.255,0.8525,54.2175,38.5325,709.9675,40.4,Good,Hyderabad
,,1.4175,20.915,22.335,,1.5975,0.56,0.04173077,1.2175,7.305,,78.3,0.5775,65.2725,38.9175,709.805,28.0,Good,Hyderabad
,,0.9225,17.3425,18.2625,,1.3375,0.42,0.049423076,0.825,4.945,,79.94,0.7875,59.62,38.9075,709.315,21.7,Good,Hyderabad
,,19.6575,51.76,71.4175,,1.8225,0.405,0.05679487,0.7675,10.4075,,81.0275,0.5,41.2825,38.7375,709.0275,65.4,Satisfactory,Hyderabad
,,2.635,23.415,26.05,,1.525,0.3125,0.07,0.6175,10.8575,,82.2,0.5075,77.4975,38.635,708.91,29.3,Good,Hyderabad
,,0.3875,14.8725,15.2225,,1.3875,0.275,0.07,0.5975,6.965,,82.6425,0.5025,63.845,38.585,709.1475,18.6,Good,Hyderabad
,,0.325,10.115,10.335,,1.2175,0.25,0.025,0.595,4.9425,,82.62,0.6975,58.6925,38.5675,709.5975,12.6,Good,Hyderabad
,,0.77,14.8975,15.5775,,1.02,0.4,0.01,0.725,13.425,,83.1175,0.615,60.34,47.4525,710.335,20.0,Good,Hyderabad
,,3.3825,16.1225,19.505,,0.9675,0.5575,0.01,1.19,21.04,,80.955,0.3425,79.955,107.725,710.9875,27.9,Good,Hyderabad
,,1.7325,13.3725,15.105,,0.7325,0.5575,0.0175,1.45,11.13,,76.93,0.6725,54.52,153.115,711.7525,27.9,Good,Hyderabad
,,0.885,7.015,7.8975,,0.7725,0.415,0.025,0.93,5.59,,71.4225,1.415,55.875,348.52,712.2725,20.8,Good,Hyderabad
,,23.0825,11.905,34.9825,,1.405,0.44,0.03,0.39,5.415,,62.605,1.655,39.67,694.15,712.5925,22.0,Good,Hyderabad
,,0.9825,6.595,7.575,,1.6675,0.465,0.035,0.5525,7.3725,,59.49,1.21,53.8925,516.18,712.22,23.2,Good,Hyderabad
,,2.5225,14.565,16.8675,,1.42,0.475,0.03,0.875,16.14,,56.86,1.85,53.86,332.68,710.8925,23.8,Good,Hyderabad
,,2.345,12.985,15.33,,1.375,0.53,0.0175,1.495,14.35,,56.285,1.905,48.935,315.3025,711.3225,26.5,Good,Hyderabad
,,3.595,7.9225,11.5175,,90.7075,0.36,0.0375,0.56,22.3275,,56.8525,2.175,40.3825,304.8825,710.395,104.5,Moderate,Hyderabad
,,1.825,11.555,13.375,,1.865,0.4825,0.0225,0.625,13.92,,77.245,1.4575,87.51,86.63,709.77,24.1,Good,Hyderabad
,,1.98,16.4575,18.44,,1.6775,0.6275,0.02,1.75,37.7225,,74.7825,1.05,68.3475,98.715,709.5125,31.4,Good,Hyderabad
,,0.9575,18.36,19.3125,,2.115,0.64,0.0175,2.88,121.385,,73.85,1.8275,41.505,44.055,709.7525,32.0,Good,Hyderabad
,,3.1325,22.43,25.5625,,2.345,0.74,0.01,2.7325,122.89,,77.4125,1.7025,31.52,33.2625,710.4625,37.0,Good,Hyderabad
