PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
76.25,123.5,5.025,22.225,15.925,11.65,28.375,0.52,39.625,2.525,7.475,22.375,74.0,0.3,122.25,8.0,753.0,154.6,Moderate,vishakhapattanam
76.25,127.5,5.7,39.925,25.875,11.6,29.225,0.6275,29.875,2.2,7.125,21.875,74.25,0.3,154.25,8.0,753.0,154.6,Moderate,vishakhapattanam
83.0,135.0,4.9,27.8,18.775,11.6,30.45,0.485,32.9,2.6,6.45,21.275,76.0,0.3,164.25,8.0,753.0,176.9,Moderate,vishakhapattanam
75.5,129.5,4.825,20.875,15.05,11.95,30.55,0.4025,39.4,2.1,8.8,20.925,76.5,0.3,136.5,8.0,752.0,152.2,Moderate,vishakhapattanam
78.0,126.75,3.95,12.525,9.875,12.55,30.2,0.4075,37.725,1.875,6.95,20.775,77.0,0.3,124.75,8.0,751.5,160.4,Moderate,vishakhapattanam
81.0,123.0,3.525,12.7,9.625,12.025,29.85,0.39,49.2,1.625,2.475,20.975,77.0,0.3,124.0,8.0,751.0,170.3,Moderate,vishakhapattanam
79.0,123.5,3.525,11.925,9.2,12.425,30.6,0.415,37.1,1.525,1.45,20.475,77.25,0.3,99.5,8.0,751.0,163.7,Moderate,vishakhapattanam
80.5,122.5,3.75,21.85,14.65,10.7,27.25,0.455,31.725,1.9,3.175,19.75,78.75,0.3,128.0,8.0,751.0,168.6,Moderate,vishakhapattanam
84.0,124.0,4.95,28.325,19.075,10.15,24.0,0.495,35.725,2.2,3.85,19.325,79.5,0.3,121.0,8.0,751.0,180.2,Moderate,vishakhapattanam
81.0,127.0,5.425,33.025,22.0,10.275,24.3,0.51,38.4,2.375,3.55,18.95,79.25,0.3,97.5,10.75,752.0,170.3,Moderate,vishakhapattanam
80.75,137.0,6.05,34.375,23.175,11.5,26.275,0.5525,32.85,2.675,4.15,20.25,74.0,0.3,141.0,69.25,752.75,169.5,Moderate,vishakhapattanam
80.75,139.5,7.375,31.6,22.8,11.05,26.725,0.675,32.45,2.9,4.9,22.8,67.75,0.725,125.75,186.75,753.0,169.5,Moderate,vishakhapattanam
81.5,139.5,7.05,26.275,19.7,12.15,25.775,0.725,33.125,3.05,5.775,24.725,66.0,1.3,133.25,299.75,753.0,172.0,Moderate,vishakhapattanam
79.0,144.0,5.475,19.0,14.55,12.125,26.175,2.2125,41.675,2.3,4.75,25.825,65.5,1.075,125.0,377.75,753.0,163.7,Moderate,vishakhapattanam
84.5,143.0,3.0,14.5,10.2,13.0,27.7,0.5375,46.25,2.375,6.95,25.15,67.0,1.8,112.0,382.25,752.5,181.8,Moderate,vishakhapattanam
81.0,136.75,11.35,17.45,19.375,12.825,26.325,0.4075,45.025,2.95,5.275,24.475,68.5,2.35,121.5,424.75,751.75,170.3,Moderate,vishakhapattanam
75.0,127.0,4.325,17.575,12.85,12.05,23.75,0.395,41.625,2.225,3.7,24.925,65.5,1.925,130.75,372.25,751.0,150.5,Moderate,vishakhapattanam
60.5,112.5,4.1,14.125,10.85,12.175,22.5,0.355,41.825,18.525,10.575,24.675,65.75,1.925,118.75,310.0,751.0,109.2,Moderate,vishakhapattanam
69.5,113.5,4.525,14.125,11.2,11.825,30.075,0.365,51.1,6.725,8.8,24.125,65.5,1.575,121.0,200.25,750.5,132.4,Moderate,vishakhapattanam
74.25,119.25,3.525,18.75,12.85,11.125,28.775,0.4075,51.85,4.05,15.325,23.275,67.25,1.1,118.25,75.5,751.0,148.0,Moderate,vishakhapattanam
70.5,113.0,4.85,29.8,19.8,10.4,25.975,0.5075,46.525,3.5,16.375,22.05,69.0,0.55,109.0,11.0,751.0,135.6,Moderate,vishakhapattanam
58.5,110.75,4.775,40.35,25.35,9.8,27.05,0.615,44.775,3.25,16.375,21.575,69.5,0.425,114.5,8.0,751.5,108.1,Moderate,vishakhapattanam
66.5,117.25,6.5,73.675,44.475,8.95,26.525,0.915,26.875,4.025,20.475,21.2,69.75,0.3,114.75,8.0,752.0,122.4,Moderate,vishakhapattanam
76.25,128.75,12.975,90.925,58.925,8.925,23.325,1.1775,20.65,5.025,21.125,20.775,70.0,0.3,170.0,8.0,752.25,154.6,Moderate,vishakhapattanam
73.0,124.0,10.4,82.4,52.275,8.475,19.475,1.085,26.875,4.75,20.75,20.575,70.5,0.3,166.25,8.0,753.0,143.9,Moderate,vishakhapattanam
67.0,117.25,7.35,50.45,32.825,12.05,17.325,0.7725,29.475,4.375,16.7,20.25,72.5,0.3,187.75,8.0,753.0,124.1,Moderate,vishakhapattanam
58.0,106.0,29.825,105.8,80.55,3.8,17.0,1.09,11.8,3.9,13.925,19.225,75.25,0.3,286.0,8.0,753.0,126.5,Moderate,vishakhapattanam
91.5,224.5,34.925,100.45,81.85,14.875,17.475,0.5875,16.65,9.35,25.075,18.35,78.25,0.3,284.75,8.0,752.5,206.0,Poor,vishakhapattanam
83.75,182.5,6.05,25.2,18.3,17.05,14.5,0.0775,42.85,4.875,15.3,18.75,76.25,0.3,156.25,8.0,752.0,179.4,Moderate,vishakhapattanam
47.0,79.0,3.375,21.5,14.2,12.325,12.35,0.04,44.475,2.25,11.0,18.475,76.0,0.3,204.5,8.0,751.0,79.4,Satisfactory,vishakhapattanam
49.75,82.5,3.775,16.9,11.225,12.85,11.825,0.0175,32.35,1.875,3.95,18.5,75.0,0.4,132.5,8.0,751.0,83.3,Satisfactory,vishakhapattanam
46.0,81.0,4.7,14.175,11.375,13.15,10.85,0.0225,130.6,1.675,1.975,18.2,75.25,0.75,142.0,8.0,751.25,145.6,Moderate,vishakhapattanam
46.0,82.75,3.275,21.175,13.95,11.825,10.275,0.0475,108.975,1.9,2.325,17.9,74.5,0.35,112.5,8.0,752.0,114.1,Moderate,vishakhapattanam
51.25,95.25,9.85,61.7,40.775,5.25,17.65,0.5575,49.8,2.075,3.375,17.7,74.0,0.525,151.75,10.75,752.25,95.3,Satisfactory,vishakhapattanam
64.0,116.0,8.25,45.975,31.175,14.825,22.05,0.5725,41.1,2.925,6.0,19.95,70.75,0.35,151.5,82.5,753.0,114.2,Moderate,vishakhapattanam
55.0,113.0,10.3,50.6,35.3,7.3,23.05,0.715,15.0,2.85,6.95,23.0,64.5,0.55,164.0,171.0,753.5,109.6,Moderate,vishakhapattanam
59.0,117.5,9.05,38.55,27.825,14.7,25.5,0.76,33.8,3.925,11.15,25.775,59.25,0.75,138.0,304.5,754.0,112.6,Moderate,vishakhapattanam
60.25,111.75,6.775,24.875,18.725,15.1,25.3,2.175,99.3,2.95,7.525,27.25,56.5,1.0,132.5,351.5,753.0,108.8,Moderate,vishakhapattanam
54.0,103.75,2.5,15.775,10.4,13.55,26.0,0.4625,99.3,2.325,5.5,26.725,54.75,1.525,122.0,440.5,752.25,103.5,Moderate,vishakhapattanam
50.25,91.75,8.3,17.825,17.075,10.25,26.3,0.365,54.3,1.925,4.375,26.85,56.5,1.225,118.25,455.5,751.5,91.9,Satisfactory,vishakhapattanam
48.0,90.75,4.15,13.7,10.65,12.125,24.475,0.3475,48.6,1.7,3.575,26.725,57.25,1.4,118.5,385.0,751.0,90.9,Satisfactory,vishakhapattanam
47.5,81.0,2.425,14.55,9.7,12.025,20.875,0.3975,49.3,1.625,3.0,26.2,61.25,1.325,116.5,332.25,751.0,81.4,Satisfactory,vishakhapattanam
48.5,86.5,3.4,15.025,10.775,11.85,23.7,0.4125,54.9,1.775,2.75,25.2,63.0,1.3,120.0,207.0,751.0,86.8,Satisfactory,vishakhapattanam
57.25,105.5,4.125,20.25,14.15,9.675,36.175,0.45,57.3,1.95,4.8,24.625,62.25,0.75,117.5,93.5,751.0,104.6,Moderate,vishakhapattanam
