PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
59.75,107.0,2.0,16.775,10.55,13.575,9.225,0.5875,16.1225,,0.275,,70.75,2.85,260.25,22.0,,105.6,Moderate,Chennai
66.0,109.0,1.125,13.8,8.275,9.425,7.675,0.625,6.7625,,0.175,,70.75,2.625,264.5,14.75,,120.8,Moderate,Chennai
62.0,109.0,1.325,21.9,12.675,11.3,8.0,0.64,9.7025,,0.1,,72.25,2.2,270.5,14.5,,107.6,Moderate,Chennai
67.0,114.25,1.45,18.525,11.025,12.4,7.95,0.6425,8.1825,,0.1,,72.0,2.225,268.0,14.0,,124.1,Moderate,Chennai
62.25,103.0,0.7,19.2,10.3,24.375,9.475,0.6975,29.94,,0.109433964,,70.0,1.6,280.0,14.5,,108.4,Moderate,Chennai
54.0,97.0,1.95,14.0,9.025,29.3,9.3,0.7175,19.0625,,0.124528304,,69.0,1.525,281.0,14.75,,97.1,Satisfactory,Chennai
45.0,79.0,1.625,10.175,6.725,26.45,8.7,0.68,18.325,,0.13962264,,68.0,1.275,307.25,14.5,,79.4,Satisfactory,Chennai
45.75,77.75,1.25,7.675,5.075,29.05,6.575,0.575,18.865,,0.15471698,,68.5,1.3,295.5,14.25,,78.2,Satisfactory,Chennai
49.75,72.0,2.225,6.0,5.05,18.05,6.05,0.6025,18.425,,0.16981132,,70.5,1.175,290.75,14.0,,83.3,Satisfactory,Chennai
54.25,67.25,0.8,5.725,3.675,12.325,5.575,0.65,10.5825,,0.18490566,,72.25,1.5,301.25,14.0,,90.6,Satisfactory,Chennai
58.5,80.0,1.25,6.75,4.6,18.775,5.65,0.7525,5.29,,,,72.75,1.55,276.25,14.25,,97.6,Satisfactory,Chennai
77.0,104.25,1.6,7.025,5.05,17.625,6.0,0.7275,9.7,,,,71.5,1.625,287.0,14.25,,157.1,Moderate,Chennai
68.75,91.5,1.2,7.45,3.975,30.775,6.425,0.615,21.755,,,,70.25,1.525,290.25,14.5,,129.9,Moderate,Chennai
52.5,84.0,2.425,7.55,6.025,33.675,6.425,0.59,20.0875,,,,68.5,1.6,288.5,24.25,,87.8,Satisfactory,Chennai
55.75,103.0,1.525,9.475,6.275,28.55,6.225,0.635,19.355,,,,69.0,1.65,272.25,35.25,,103.0,Moderate,Chennai
69.5,105.75,1.625,17.95,10.85,26.2,6.625,0.71,17.74,,,,68.75,1.6,263.75,27.5,,132.4,Moderate,Chennai
68.75,101.75,2.85,14.275,9.925,15.75,6.25,0.75,16.7575,,,,70.5,1.35,288.0,69.0,,129.9,Moderate,Chennai
72.5,95.5,1.5,12.9,8.075,10.6,5.575,0.7975,11.1725,,0.45,,72.0,1.525,298.25,136.5,,142.2,Moderate,Chennai
72.75,102.75,1.875,12.7,8.325,12.9,5.85,0.7925,8.2325,,0.675,,72.0,1.625,275.5,154.25,,143.1,Moderate,Chennai
61.0,94.25,1.975,11.925,8.0,15.125,6.375,0.74,15.045,,0.75,,71.0,2.025,281.5,179.25,,104.3,Moderate,Chennai
60.0,95.75,0.725,11.7,6.7,23.475,7.45,0.635,22.4925,,0.65,,69.25,2.6,268.0,290.0,,100.0,Satisfactory,Chennai
48.0,86.75,2.125,11.2,7.65,28.425,7.725,0.655,20.875,,0.2,,68.5,2.15,278.5,181.5,,87.0,Satisfactory,Chennai
50.25,81.0,1.5,11.5,7.35,24.6,7.225,0.6725,19.65,,0.3,,68.25,2.05,274.0,57.0,,84.1,Satisfactory,Chennai
50.75,75.0,1.3,11.75,7.275,22.875,7.05,0.6925,16.855,,0.55,,68.5,1.625,272.25,66.5,,84.9,Satisfactory,Chennai
