PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),AQI,AQI_Category,City
,,139.0,266.5,255.0,238.5,3.7,,89.25,,,,,,,,,286.6,Poor,Delhi NCR
,,155.5,294.25,283.0,217.75,3.7,,104.75,,,,,,,,,312.8,Very Poor,Delhi NCR
,,132.75,250.0,240.75,250.75,3.425,,122.75,,,,,,,,,270.3,Poor,Delhi NCR
,,110.5,211.0,202.0,280.75,2.875,,146.75,,,,,,,,,231.7,Poor,Delhi NCR
,,111.75,212.0,203.75,279.25,4.025,,150.25,,,,,,,,,232.7,Poor,Delhi NCR
,,63.25,131.5,121.5,343.75,3.5,,117.75,,,,,,,,,152.0,Moderate,Delhi NCR
,,39.25,98.25,84.0,371.25,4.5,30.0,89.5,,,,,,,,,376.7,Very Poor,Delhi NCR
,,31.25,93.0,75.0,377.0,3.65,32.25,66.5,,,,,,,,,389.8,Very Poor,Delhi NCR
,,37.0,106.25,86.5,368.25,4.925,44.25,49.75,,,,,,,,,464.4,Severe,Delhi NCR
,,43.25,127.0,102.75,357.0,4.25,46.0,25.5,,,,,,,,,475.2,Severe,Delhi NCR
,,43.0,129.25,103.5,356.5,4.825,45.71875,22.0,,,,,,,,,473.5,Severe,Delhi NCR
,,43.5,113.0,95.5,362.75,4.8,44.3125,22.25,,,,,,,,,464.8,Severe,Delhi NCR
,,39.5,109.25,91.0,366.25,4.65,42.8125,23.5,,,,,,,,,455.5,Severe,Delhi NCR
,,41.25,116.25,95.25,362.5,4.725,41.3125,24.75,,,,,,,,,446.2,Severe,Delhi NCR
,,37.5,118.0,93.5,363.0,5.15,39.8125,26.0,,,,,,,,,437.0,Severe,Delhi NCR
